Date,SPY_AdjClose,SPY_Return,SPY_Vol_20d,QQQ_AdjClose,QQQ_Return,QQQ_Vol_20d,DIA_AdjClose,DIA_Return,DIA_Vol_20d,GLD_AdjClose,GLD_Return,GLD_Vol_20d,VIX_AdjClose,VIX_Return,VIX_Vol_20d,XLK_AdjClose,XLK_Return,XLK_Vol_20d,XLF_AdjClose,XLF_Return,XLF_Vol_20d,XLE_AdjClose,XLE_Return,XLE_Vol_20d,XLI_AdjClose,XLI_Return,XLI_Vol_20d,XLY_AdjClose,XLY_Return,XLY_Vol_20d,XLV_AdjClose,XLV_Return,XLV_Vol_20d,QQQ_to_SPY,DIA_to_SPY,XLK_to_SPY,XLF_to_SPY,XLE_to_SPY,XLI_to_SPY,XLY_to_SPY,XLV_to_SPY,GLD_to_SPY,SPY_1wChange,QQQ_1wChange,DIA_1wChange,GLD_1wChange,VIX_1wChange,Series_ID,Article_Sentiment,Bubble_Risk
1/3/2000,92.14251709,,,80.22419739,,,65.38148499,,,,,,24.20999908,,,41.4198761,,,11.22370243,,,13.62833881,,,18.26288033,,,22.43064499,,,20.70644188,,,0.870653417,0.709569122,0.449519694,0.121808073,0.147904998,0.198202533,0.243434255,0.224721904,,0.558676009,-2.374688854,2.202578812,,-10.32631183,all_etfs,0,2
1/4/2000,88.53920746,-3.910583024,,74.72068024,-6.860171033,,63.23027802,-3.290238774,,,,,27.01000023,11.56547398,,39.31852341,-5.073295455,,10.73305321,-4.371545186,,13.37180519,-1.882354308,,17.75832748,-2.762723252,,21.75586128,-3.008311651,,20.23657036,-2.269204549,,0.843927593,0.714150034,0.444080363,0.121223733,0.151026936,0.200570211,0.245720082,0.228560555,,3.398902422,-0.283271367,4.896751446,,-16.69752014,all_etfs,0,2
1/5/2000,88.69755554,0.178845156,,72.81562805,-2.549564831,,64.04930878,1.295314187,,,,,26.40999985,-2.221400875,,38.73482132,-1.484547325,,10.64871883,-0.785744483,,13.72454071,2.637905013,,17.67918777,-0.44564844,,21.48827744,-1.229939112,,20.05501938,-0.897143026,,0.820942895,0.722109064,0.436706751,0.120056509,0.154734148,0.199319899,0.242264596,0.22610566,,2.18749457,0.072725634,3.822385779,,-13.51760589,all_etfs,0,2
1/6/2000,87.27204895,-1.607154316,,67.81481934,-6.867768431,,64.3732605,0.505784883,,,,,25.72999954,-2.57478345,,37.45067215,-3.315231944,,11.11636925,4.391611994,,14.25363636,3.855106418,,17.91661835,1.3429948,,21.73260117,1.137009382,,20.1191082,0.319564994,,0.777050844,0.73761601,0.42912562,0.127376054,0.163324186,0.205296181,0.249021324,0.23053324,,5.263188262,13.92907384,3.691399333,,-15.62378752,all_etfs,0,2
1/7/2000,92.34048462,5.807627677,,76.20240021,12.36835983,,66.53349304,3.355791717,,,,,21.71999931,-15.58492149,,38.10440063,1.745572102,,11.30036831,1.655208256,,14.40595627,1.068638937,,18.59924507,3.810019899,,22.75640869,4.710929529,,20.36471367,1.220757234,,0.825232838,0.720523542,0.412651079,0.122377182,0.156009104,0.201420267,0.246440213,0.220539385,,0.836221538,3.750009637,1.731585549,,-9.484344066,all_etfs,0,2
1/10/2000,92.65729523,0.343089609,,78.31912231,2.777763038,,66.82156372,0.432970923,,,,,21.70999908,-0.046041571,,39.55201721,3.799079773,,11.10103893,-1.763919288,,14.28571129,-0.83468933,,18.59924507,0,,22.64006996,-0.511235017,,22.44710541,10.2254899,,0.845255866,0.721168944,0.426863499,0.1198075,0.154177944,0.200731578,0.244342012,0.24225945,,-0.299140939,1.48647248,-0.242474798,,-0.967292001,all_etfs,0,2
1/11/2000,91.54856873,-1.196588459,,74.50901794,-4.864845593,,66.32650757,-0.740862866,,,,,22.5,3.638880464,,38.43130112,-2.833524492,,10.91704369,-1.657459703,,14.30173874,0.112192177,,18.36181641,-1.276550012,,22.51207924,-0.5653283,,21.84910202,-2.664055684,,0.813874198,0.724495298,0.419791392,0.119248655,0.156220233,0.200569126,0.245903126,0.238661317,,1.730137055,9.090915607,0.366363653,,-3.466669718,all_etfs,0.125,2
1/12/2000,90.63780975,-0.994836932,,72.86858368,-2.201658686,,66.49752045,0.257834891,,,,,22.84000015,1.511111789,,38.26785278,-0.425300026,,11.13170147,1.966262934,,14.23760509,-0.448432497,,18.14416504,-1.185347693,,22.38410378,-0.568474651,,21.48601151,-1.661809784,,0.803953492,0.73366204,0.422206283,0.122815208,0.157082405,0.200183181,0.246962099,0.237053516,,1.179596533,10.45745742,-1.475304565,,-4.772329883,all_etfs,0,2
1/13/2000,91.86534119,1.354326011,,77.26079559,6.02757964,,66.74953461,0.378982793,,,,,21.70999908,-4.947465239,,38.6180687,0.915170009,,11.46903515,3.030387404,,14.48611641,1.745457278,,18.49042892,1.908403527,,22.5004406,0.519729642,,22.12674332,2.98208819,,0.841022246,0.726601934,0.420376915,0.124846161,0.157688593,0.20127753,0.244928504,0.240860623,,-0.387917124,5.479411067,-2.578776191,,-4.099490683,all_etfs,0,2
1/14/2000,93.11265564,1.357763915,,79.05999756,2.328738594,,67.68557739,1.402321067,,,,,19.65999985,-9.442650039,,39.5053215,2.297506938,,11.73735905,2.339550754,,14.3979435,-0.608671849,,18.36181641,-0.695562655,,22.44228172,-0.258478825,,21.93451881,-0.868742859,,0.849078968,0.726921351,0.424274458,0.126055464,0.154629286,0.197200008,0.241022894,0.235569683,,-4.507712015,-1.874181186,-6.321173072,,22.43133205,all_etfs,0,2
1/18/2000,92.38011932,-0.786720463,,79.48331451,0.535437603,,66.65953827,-1.515890332,,,,,21.5,9.35910563,,39.71545792,0.531919259,,11.34636593,-3.331184781,,14.57430649,1.224917929,,18.34203339,-0.107739995,,22.31430054,-0.570268155,,21.52872658,-1.850016587,,0.860394153,0.721578828,0.429913473,0.122822594,0.157764534,0.198549575,0.24154873,0.233045018,,-2.657541467,-0.932018191,-4.581954697,,7.069769571,all_etfs,0,2
1/19/2000,93.13248444,0.814423187,,81.28256989,2.263689407,,66.56950378,-0.135066169,,,,,21.71999931,1.02325262,,39.78547287,0.176291442,,11.30803299,-0.337843318,,14.52621841,-0.329951026,,18.2826786,-0.323599793,,22.26776123,-0.208562695,,22.04130745,2.380915888,,0.872762821,0.714782862,0.427192221,0.121418784,0.155973702,0.196308288,0.239097683,0.23666616,,-4.209227758,-7.031201529,-4.3446213,,6.031314064,all_etfs,0.1875,2
1/20/2000,91.70697021,-1.53063051,,80.48878479,-0.976574801,,65.51647949,-1.581841883,,,,,21.75,0.138124713,,40.01898575,0.586930006,,11.10103893,-1.830504535,,14.52621841,0,,18.16395569,-0.64937375,,21.96526909,-1.358430866,,21.87044716,-0.775182193,,0.877673579,0.714411122,0.436378889,0.121049021,0.158398194,0.19806516,0.239515808,0.238481842,,-3.108829326,-4.733736841,-2.807184639,,8.229889267,all_etfs,0.025,2
1/21/2000,91.5089798,-0.215894623,,81.49423218,1.249177001,,65.0282135,-0.745256758,,,,,20.81999969,-4.275863472,,40.06568146,0.11668389,,10.96304512,-1.243071152,,14.92704391,2.759324478,,17.936409,-1.252737541,,21.51154518,-2.065642381,,21.82773781,-0.19528339,,0.890559947,0.710621118,0.437833331,0.119802943,0.163121083,0.196007092,0.235075784,0.238531102,,-5.928149828,-10.64934768,-4.792166908,,25.55235242,all_etfs,-0.1,2
1/24/2000,88.91540527,-2.834229526,,77.57826996,-4.805201687,,63.4070549,-2.493008054,,,,,24.06999969,15.60999062,,38.7581749,-3.263407769,,10.76371861,-1.818167425,,14.3979435,-3.544576013,,17.42196655,-2.86814626,,20.70879173,-3.731733084,,21.17632294,-2.984344401,,0.872495264,0.713116638,0.435899435,0.121055722,0.16192856,0.195938673,0.232904429,0.238162587,,-0.55674634,-2.114573481,-0.454512119,,3.656007808,all_etfs,0,2
1/25/2000,89.92507935,1.135544588,,78.74251556,1.500736748,,63.60522842,0.312541756,,,,,23.02000046,-4.362273579,,39.58705139,2.13858495,,10.87870979,1.068322132,,14.3658762,-0.222721383,,17.32302856,-0.567892195,,20.83676529,0.617967278,,21.32582664,0.705994654,,0.875645772,0.707313565,0.440222591,0.120975259,0.159753834,0.192638457,0.231712504,0.237151046,,-0.704508317,-0.974475288,-0.056657992,,1.867942209,all_etfs,0.166666667,2
1/26/2000,89.21232605,-0.792607914,,75.56742859,-4.032239702,,63.67731094,0.113327978,,,,,23.03000069,0.04344148,,38.29119492,-3.273435202,,11.28502846,3.734989464,,14.14140797,-1.562509854,,17.4615345,0.799548042,,20.98799896,0.725802067,,21.22970772,-0.450716066,,0.847051433,0.713772567,0.429214175,0.126496292,0.15851406,0.195730066,0.235258959,0.237968324,,0.177564161,4.061586867,-0.707246464,,0.390795267,all_etfs,0,2
1/27/2000,88.85595703,-0.399461638,,76.67865753,1.470513108,,63.67731094,0,,,,,23.54000092,2.21450375,,37.9176445,-0.975551732,,11.40769672,1.087000062,,13.85280895,-2.040808206,,17.56046104,0.566539809,,20.92983818,-0.277114469,,21.10156441,-0.603603744,,0.862954608,0.71663525,0.426731598,0.128384152,0.15590186,0.197628405,0.235547946,0.237480582,,2.094486872,6.556250109,0.02827596,,-6.499577855,all_etfs,0,2
1/28/2000,86.08419037,-3.119393179,,72.81562805,-5.037946157,,61.91195297,-2.772350065,,,,,26.13999939,11.04502282,,36.5634346,-3.571450489,,11.00904179,-3.494613745,,13.6924696,-1.157450132,,17.09548569,-2.647853925,,20.10380936,-3.946656523,,20.67440796,-2.024288058,,0.845865283,0.719202361,0.424740413,0.127886918,0.159059051,0.198590306,0.233536603,0.240164981,,4.94479106,12.97242587,2.182072326,,-17.59754622,all_etfs,0.133333333,2
1/31/2000,88.42037201,2.713833551,,75.93782043,4.287805333,,63.11886215,1.949396073,,,,,24.95000076,-4.552404952,,37.77754974,3.320571921,,11.31570053,2.78551713,,14.01314259,2.341966047,,17.21421051,0.69448055,,20.25505829,0.752339665,,20.57830048,-0.46486208,,0.858827199,0.713849769,0.427249387,0.12797617,0.15848319,0.194686022,0.229076827,0.232732571,,2.015301005,9.825794845,-0.684905221,,-8.657313753,all_etfs,0.02,2
2/1/2000,89.29154968,0.985268048,2.168401338,77.97518921,2.682943443,4.781091188,63.56919098,0.713461573,1.627094133,,,,23.45000076,-6.012023864,7.506369312,38.57136917,2.101299404,2.558729199,11.37702847,0.541972051,2.532865138,13.98107529,-0.228837312,1.860066334,17.09548569,-0.689690782,1.603948486,20.98799896,3.618556231,2.102436994,20.84526825,1.297326637,2.87650912,0.873265046,0.71192841,0.431971103,0.127414391,0.15657781,0.191456927,0.235050226,0.233451747,,2.39470311,11.43533635,-0.878441687,,-9.381666061,all_etfs,-0.1,2
2/2/2000,89.37073517,0.088681948,1.977925216,78.63666534,0.848316166,4.504655853,63.22695541,-0.53836703,1.452591042,,,,23.12000084,-1.407249096,7.008016481,38.8515625,0.726428268,2.308612224,11.26203632,-1.010739685,2.323542604,14.06926155,0.630754518,1.799868248,17.10537338,0.057838049,1.498149663,20.84840775,-0.665100171,2.007347609,21.35786819,2.459070994,2.868329073,0.879892788,0.707468225,0.434723542,0.126014811,0.157425823,0.191397926,0.23328003,0.238980558,,0.155104989,6.594884189,-2.535631851,,-0.951562339,all_etfs,-0.15,2
